County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,Data as of date
Northampton County,VA,suppressed,46.6,51.2,2021-07-30
Northumberland County,VA,suppressed,22.2,51.2,2021-07-30
Nottoway County,VA,98.48,14.5,51.2,2021-07-30
Orange County,VA,86.37,5.2,51.2,2021-07-30
Page County,VA,87.86,10.3,51.2,2021-07-30
Patrick County,VA,suppressed,22.6,51.2,2021-07-30
Pittsylvania County,VA,66.28,18.7,51.2,2021-07-30
Powhatan County,VA,suppressed,1.6,51.2,2021-07-30
Prince Edward County,VA,57.01,2.3,51.2,2021-07-30
Prince George County,VA,156.44,19.4,51.2,2021-07-30
Prince William County,VA,56.13,49,51.2,2021-07-30
Pulaski County,VA,135.19,16.7,51.2,2021-07-30
Rappahannock County,VA,suppressed,22,51.2,2021-07-30
Richmond County,VA,suppressed,7.8,51.2,2021-07-30
Roanoke County,VA,104.05,1.7,51.2,2021-07-30
Rockbridge County,VA,suppressed,13.2,51.2,2021-07-30
Rockingham County,VA,56.13,11.7,51.2,2021-07-30
Russell County,VA,37.61,26.2,51.2,2021-07-30
Scott County,VA,78.83,30.2,51.2,2021-07-30
Shenandoah County,VA,61.90,28.3,51.2,2021-07-30
Smyth County,VA,59.79,25.3,51.2,2021-07-30
Southampton County,VA,suppressed,7,51.2,2021-07-30
Spotsylvania County,VA,86.63,10.4,51.2,2021-07-30
Stafford County,VA,83.72,30.8,51.2,2021-07-30
Surry County,VA,suppressed,32.1,51.2,2021-07-30
Sussex County,VA,suppressed,8.5,51.2,2021-07-30
Tazewell County,VA,44.34,24.9,51.2,2021-07-30
Warren County,VA,49.80,4.2,51.2,2021-07-30
Washington County,VA,89.32,33.8,51.2,2021-07-30
Westmoreland County,VA,suppressed,13.1,51.2,2021-07-30
Wise County,VA,115.03,20.3,51.2,2021-07-30
Wythe County,VA,156.88,19.6,51.2,2021-07-30
York County,VA,77.62,37.1,51.2,2021-07-30
Alexandria city,VA,64.61,27.3,51.2,2021-07-30
Bristol city,VA,167.04,46.4,51.2,2021-07-30
Buena Vista city,VA,0.00,N/A,0,2021-07-30
Charlottesville city,VA,48.66,5.9,51.2,2021-07-30
Chesapeake city,VA,106.60,11.2,51.2,2021-07-30
Colonial Heights city,VA,115.14,0.7,51.2,2021-07-30
Covington city,VA,suppressed,N/A,0,2021-07-30
Danville city,VA,72.42,0.4,51.2,2021-07-30
Emporia city,VA,suppressed,1,51.2,2021-07-30
Fairfax city,VA,41.63,6.1,51.2,2021-07-30
Falls Church city,VA,suppressed,5.9,51.2,2021-07-30
Franklin city,VA,163.17,N/A,0,2021-07-30
Fredericksburg city,VA,55.10,4.3,51.2,2021-07-30
Galax city,VA,suppressed,1,51.2,2021-07-30
Hampton city,VA,78.80,32.7,51.2,2021-07-30
Harrisonburg city,VA,18.86,4.1,51.2,2021-07-30
Hopewell city,VA,146.48,0.2,51.2,2021-07-30
Lexington city,VA,suppressed,N/A,0,2021-07-30
Lynchburg city,VA,92.49,0.7,51.2,2021-07-30
Manassas city,VA,26.77,2.6,51.2,2021-07-30
Manassas Park city,VA,suppressed,1.2,51.2,2021-07-30
Martinsville city,VA,suppressed,0.5,51.2,2021-07-30
Newport News city,VA,95.41,28.1,51.2,2021-07-30
Norfolk city,VA,63.44,37,51.2,2021-07-30
Norton city,VA,suppressed,N/A,0,2021-07-30
Petersburg city,VA,312.64,2.1,51.2,2021-07-30
Poquoson city,VA,suppressed,N/A,0,2021-07-30
Portsmouth city,VA,98.52,59.3,51.2,2021-07-30
Radford city,VA,449.34,7.8,51.2,2021-07-30
Richmond city,VA,64.66,13.4,51.2,2021-07-30
Roanoke city,VA,104.90,7.3,51.2,2021-07-30
Salem city,VA,98.81,4.4,51.2,2021-07-30
Staunton city,VA,64.17,1.8,51.2,2021-07-30
Suffolk city,VA,81.43,25.9,51.2,2021-07-30
Virginia Beach city,VA,87.78,34.4,51.2,2021-07-30
Waynesboro city,VA,70.70,1,51.2,2021-07-30
Williamsburg city,VA,suppressed,3,51.2,2021-07-30
Winchester city,VA,49.86,3.3,51.2,2021-07-30
Adams County,WA,75.06,39.3,96.2,2021-07-30
Asotin County,WA,177.13,31.7,96.2,2021-07-30
Benton County,WA,254.90,43.2,96.2,2021-07-30
Chelan County,WA,110.10,54.4,96.2,2021-07-30
Clallam County,WA,69.83,56.5,96.2,2021-07-30
Clark County,WA,90.12,51.5,96.2,2021-07-30
Columbia County,WA,301.13,34.9,96.2,2021-07-30
Cowlitz County,WA,205.26,47.3,96.2,2021-07-30
Douglas County,WA,101.31,46.5,96.2,2021-07-30
Ferry County,WA,suppressed,44.6,96.2,2021-07-30
Franklin County,WA,333.96,34.9,96.2,2021-07-30
Garfield County,WA,0.00,25.6,96.2,2021-07-30
Grant County,WA,63.44,40.7,96.2,2021-07-30
Grays Harbor County,WA,87.93,46.7,96.2,2021-07-30
Island County,WA,63.42,52.3,96.2,2021-07-30
Jefferson County,WA,83.80,67.1,96.2,2021-07-30
King County,WA,61.26,66.9,96.2,2021-07-30
Kitsap County,WA,57.10,52.2,96.2,2021-07-30
Kittitas County,WA,70.93,44.6,96.2,2021-07-30
Klickitat County,WA,62.43,40.7,96.2,2021-07-30
Lewis County,WA,73.10,39.7,96.2,2021-07-30
Lincoln County,WA,173.69,40.4,96.2,2021-07-30
Mason County,WA,55.42,47.2,96.2,2021-07-30
Okanogan County,WA,47.35,54.8,96.2,2021-07-30
Pacific County,WA,97.90,45.4,96.2,2021-07-30
Pend Oreille County,WA,116.58,30.9,96.2,2021-07-30
Pierce County,WA,101.22,49.9,96.2,2021-07-30
San Juan County,WA,suppressed,70.7,96.2,2021-07-30
Skagit County,WA,61.92,53.9,96.2,2021-07-30
Skamania County,WA,suppressed,33.1,96.2,2021-07-30
Snohomish County,WA,70.55,57.5,96.2,2021-07-30
Spokane County,WA,107.12,48,96.2,2021-07-30
Stevens County,WA,98.42,30.2,96.2,2021-07-30
Thurston County,WA,83.64,52,96.2,2021-07-30
Wahkiakum County,WA,suppressed,41.6,96.2,2021-07-30
Walla Walla County,WA,233.71,50.1,96.2,2021-07-30
Whatcom County,WA,72.41,63.2,96.2,2021-07-30
Whitman County,WA,41.91,37.8,96.2,2021-07-30
Yakima County,WA,98.85,45.6,96.2,2021-07-30
Barbour County,WV,121.65,6,57.7,2021-07-30
Berkeley County,WV,67.97,28.4,57.7,2021-07-30
Boone County,WV,69.91,29.8,57.7,2021-07-30
Braxton County,WV,121.80,11.8,57.7,2021-07-30
Brooke County,WV,63.81,18.6,57.7,2021-07-30
Cabell County,WV,84.83,20.3,57.7,2021-07-30
Calhoun County,WV,suppressed,12,57.7,2021-07-30
Clay County,WV,suppressed,22,57.7,2021-07-30
Doddridge County,WV,suppressed,3.8,57.7,2021-07-30
Fayette County,WV,132.06,25.5,57.7,2021-07-30
Gilmer County,WV,suppressed,37.9,57.7,2021-07-30
Grant County,WV,suppressed,12.8,57.7,2021-07-30
Greenbrier County,WV,suppressed,32.8,57.7,2021-07-30
Hampshire County,WV,suppressed,20.2,57.7,2021-07-30
Hancock County,WV,55.54,19,57.7,2021-07-30
Hardy County,WV,suppressed,22,57.7,2021-07-30
Harrison County,WV,108.54,20.4,57.7,2021-07-30
Jackson County,WV,55.99,16.6,57.7,2021-07-30
Jefferson County,WV,68.25,29.7,57.7,2021-07-30
Kanawha County,WV,66.25,30,57.7,2021-07-30
Lewis County,WV,188.60,28.4,57.7,2021-07-30
Lincoln County,WV,suppressed,15.8,57.7,2021-07-30
Logan County,WV,74.96,28.6,57.7,2021-07-30
McDowell County,WV,79.44,19.9,57.7,2021-07-30
Marion County,WV,101.66,8.7,57.7,2021-07-30
Marshall County,WV,144.12,9.6,57.7,2021-07-30
Mason County,WV,143.31,23.6,57.7,2021-07-30
Mercer County,WV,64.67,35.3,57.7,2021-07-30
Mineral County,WV,suppressed,31.4,57.7,2021-07-30
Mingo County,WV,98.19,21.4,57.7,2021-07-30
Monongalia County,WV,45.45,15.3,57.7,2021-07-30
Monroe County,WV,97.93,24.6,57.7,2021-07-30
Morgan County,WV,83.87,3.4,57.7,2021-07-30
Nicholas County,WV,77.56,28.7,57.7,2021-07-30
Ohio County,WV,103.84,9.2,57.7,2021-07-30
Pendleton County,WV,0.00,33.1,57.7,2021-07-30
Pleasants County,WV,suppressed,9.4,57.7,2021-07-30
Pocahontas County,WV,suppressed,22.8,57.7,2021-07-30
Preston County,WV,suppressed,30.4,57.7,2021-07-30
Putnam County,WV,97.43,15.8,57.7,2021-07-30
Raleigh County,WV,57.25,20.6,57.7,2021-07-30
Randolph County,WV,41.82,27.6,57.7,2021-07-30
Ritchie County,WV,suppressed,18.2,57.7,2021-07-30
Roane County,WV,suppressed,4.8,57.7,2021-07-30
Summers County,WV,suppressed,15.1,57.7,2021-07-30
Taylor County,WV,119.80,3.9,57.7,2021-07-30
Tucker County,WV,suppressed,28.2,57.7,2021-07-30
Tyler County,WV,116.40,16.9,57.7,2021-07-30
Upshur County,WV,70.32,7.8,57.7,2021-07-30
Wayne County,WV,78.68,28.3,57.7,2021-07-30
Webster County,WV,271.14,28.4,57.7,2021-07-30
Wetzel County,WV,139.40,9.7,57.7,2021-07-30
Wirt County,WV,suppressed,3.8,57.7,2021-07-30
Wood County,WV,53.88,32.9,57.7,2021-07-30
Wyoming County,WV,102.97,34.3,57.7,2021-07-30
Adams County,WI,49.46,45.2,97,2021-07-30
Ashland County,WI,83.54,55.6,97,2021-07-30
Barron County,WI,33.15,43,97,2021-07-30
Bayfield County,WI,suppressed,69.8,97,2021-07-30
Brown County,WI,54.06,50.4,97,2021-07-30
Buffalo County,WI,107.44,41,97,2021-07-30
Burnett County,WI,77.85,47.1,97,2021-07-30
Calumet County,WI,65.88,44.6,97,2021-07-30
Chippewa County,WI,71.14,45.4,97,2021-07-30
Clark County,WI,74.77,28.8,97,2021-07-30
Columbia County,WI,74.74,53.8,97,2021-07-30
Crawford County,WI,suppressed,47.2,97,2021-07-30
Dane County,WI,70.24,69,97,2021-07-30
Dodge County,WI,92.21,40.8,97,2021-07-30
Door County,WI,suppressed,65.7,97,2021-07-30
Douglas County,WI,25.49,34.4,97,2021-07-30
Dunn County,WI,55.10,39.4,97,2021-07-30
Eau Claire County,WI,79.32,50.6,97,2021-07-30
Florence County,WI,0.00,38.6,97,2021-07-30
Fond du Lac County,WI,48.35,43.5,97,2021-07-30
Forest County,WI,suppressed,47,97,2021-07-30
Grant County,WI,suppressed,45.2,97,2021-07-30
Green County,WI,suppressed,52.8,97,2021-07-30
Green Lake County,WI,suppressed,43.4,97,2021-07-30
Iowa County,WI,suppressed,58,97,2021-07-30
Iron County,WI,suppressed,49.3,97,2021-07-30
Jackson County,WI,suppressed,39.5,97,2021-07-30
Jefferson County,WI,63.70,45.6,97,2021-07-30
Juneau County,WI,37.47,41.9,97,2021-07-30
Kenosha County,WI,81.98,46.8,97,2021-07-30
Kewaunee County,WI,suppressed,41.5,97,2021-07-30
La Crosse County,WI,49.15,55.9,97,2021-07-30
Lafayette County,WI,suppressed,49.1,97,2021-07-30
Langlade County,WI,suppressed,43.7,97,2021-07-30
Lincoln County,WI,68.86,45.1,97,2021-07-30
Manitowoc County,WI,39.25,47.9,97,2021-07-30
Marathon County,WI,50.11,47.2,97,2021-07-30
Marinette County,WI,32.22,40.7,97,2021-07-30
Marquette County,WI,suppressed,43.4,97,2021-07-30
Menominee County,WI,suppressed,51.1,97,2021-07-30
Milwaukee County,WI,187.48,48.9,97,2021-07-30
Monroe County,WI,49.73,41.4,97,2021-07-30
Oconto County,WI,79.09,42.3,97,2021-07-30
Oneida County,WI,44.95,54.7,97,2021-07-30
Outagamie County,WI,55.35,50.3,97,2021-07-30
Ozaukee County,WI,115.44,59,97,2021-07-30
Pepin County,WI,137.23,41.2,97,2021-07-30
Pierce County,WI,30.41,36.1,97,2021-07-30
Polk County,WI,27.41,41.3,97,2021-07-30
Portage County,WI,69.24,49.4,97,2021-07-30
Price County,WI,suppressed,49.2,97,2021-07-30
Racine County,WI,103.41,46.7,97,2021-07-30
Richland County,WI,suppressed,48,97,2021-07-30
Rock County,WI,78.36,54.8,97,2021-07-30
Rusk County,WI,suppressed,32.1,97,2021-07-30
St. Croix County,WI,41.90,39.1,97,2021-07-30
Sauk County,WI,60.52,51.1,97,2021-07-30
Sawyer County,WI,60.39,48.2,97,2021-07-30
Shawano County,WI,29.34,41.9,97,2021-07-30
Sheboygan County,WI,66.76,48.9,97,2021-07-30
Taylor County,WI,suppressed,27.7,97,2021-07-30
Trempealeau County,WI,67.46,51.2,97,2021-07-30
Vernon County,WI,suppressed,45.1,97,2021-07-30
Vilas County,WI,54.07,53.2,97,2021-07-30
Walworth County,WI,77.02,42.7,97,2021-07-30
Washburn County,WI,suppressed,53.1,97,2021-07-30
Washington County,WI,77.92,46,97,2021-07-30
Waukesha County,WI,132.11,56.5,97,2021-07-30
Waupaca County,WI,64.72,42.5,97,2021-07-30
Waushara County,WI,53.18,35.5,97,2021-07-30
Winnebago County,WI,63.41,48.3,97,2021-07-30
Wood County,WI,63.01,48.3,97,2021-07-30
Albany County,WY,149.18,42.8,96,2021-07-30
Big Horn County,WY,178.12,26.8,96,2021-07-30
Campbell County,WY,135.95,19.6,96,2021-07-30
Carbon County,WY,304.05,33.4,96,2021-07-30
Converse County,WY,332.80,24.2,96,2021-07-30
Crook County,WY,suppressed,21.3,96,2021-07-30
Fremont County,WY,165.56,41.7,96,2021-07-30
Goshen County,WY,136.25,29.5,96,2021-07-30
Hot Springs County,WY,suppressed,37,96,2021-07-30
Johnson County,WY,suppressed,33,96,2021-07-30
Laramie County,WY,165.83,39.6,96,2021-07-30
Lincoln County,WY,146.24,28.4,96,2021-07-30
Natrona County,WY,116.46,32.2,96,2021-07-30
Niobrara County,WY,suppressed,23.4,96,2021-07-30
Park County,WY,116.46,36.3,96,2021-07-30
Platte County,WY,345.53,30.5,96,2021-07-30
Sheridan County,WY,114.81,39.2,96,2021-07-30
Sublette County,WY,213.61,23.9,96,2021-07-30
Sweetwater County,WY,136.98,30.9,96,2021-07-30
Teton County,WY,123.59,73.5,96,2021-07-30
Uinta County,WY,207.65,32.5,96,2021-07-30
Washakie County,WY,suppressed,30.3,96,2021-07-30
Weston County,WY,suppressed,26.5,96,2021-07-30
Adjuntas Municipio,PR,suppressed,55.8,96,2021-07-30
Aguada Municipio,PR,335.20,54.7,96,2021-07-30
Aguadilla Municipio,PR,258.63,57.5,96,2021-07-30
Aguas Buenas Municipio,PR,suppressed,55.8,96,2021-07-30
Aibonito Municipio,PR,45.23,72.5,96,2021-07-30
Anasco Municipio,PR,183.48,57.4,96,2021-07-30
Arecibo Municipio,PR,67.10,89.4,96,2021-07-30
Arroyo Municipio,PR,suppressed,58.4,96,2021-07-30
Barceloneta Municipio,PR,42.15,52,96,2021-07-30
Barranquitas Municipio,PR,79.35,54.3,96,2021-07-30
Bayamon Municipio,PR,74.44,65.5,96,2021-07-30
Cabo Rojo Municipio,PR,242.03,55.8,96,2021-07-30
Caguas Municipio,PR,89.08,60.7,96,2021-07-30
Camuy Municipio,PR,88.51,58.1,96,2021-07-30
Canovanas Municipio,PR,67.15,52.2,96,2021-07-30
Carolina Municipio,PR,78.24,56.5,96,2021-07-30
Catano Municipio,PR,60.55,51.6,96,2021-07-30
Cayey Municipio,PR,23.58,64.4,96,2021-07-30
Ceiba Municipio,PR,91.71,50.5,96,2021-07-30
Ciales Municipio,PR,suppressed,61.5,96,2021-07-30
Cidra Municipio,PR,62.65,58.4,96,2021-07-30
Coamo Municipio,PR,49.56,52.1,96,2021-07-30
Comerio Municipio,PR,suppressed,45.4,96,2021-07-30
Corozal Municipio,PR,68.13,57.3,96,2021-07-30
Culebra Municipio,PR,0.00,59.2,96,2021-07-30
Dorado Municipio,PR,88.54,57,96,2021-07-30
Fajardo Municipio,PR,139.20,52.8,96,2021-07-30
Florida Municipio,PR,suppressed,59.9,96,2021-07-30
Guanica Municipio,PR,suppressed,53,96,2021-07-30
Guayama Municipio,PR,32.94,55.6,96,2021-07-30
Guayanilla Municipio,PR,68.09,60.1,96,2021-07-30
Guaynabo Municipio,PR,106.30,66.6,96,2021-07-30
Gurabo Municipio,PR,59.46,49,96,2021-07-30
Hatillo Municipio,PR,104.54,53.5,96,2021-07-30
Hormigueros Municipio,PR,115.99,63.5,96,2021-07-30
Humacao Municipio,PR,76.99,59.1,96,2021-07-30
Isabela Municipio,PR,269.65,51.1,96,2021-07-30
Jayuya Municipio,PR,suppressed,62.3,96,2021-07-30
Juana Diaz Municipio,PR,35.81,55.1,96,2021-07-30
Juncos Municipio,PR,36.69,53.7,96,2021-07-30
Lajas Municipio,PR,104.50,58.1,96,2021-07-30
Lares Municipio,PR,49.43,70.1,96,2021-07-30
Las Marias Municipio,PR,suppressed,65.4,96,2021-07-30
Las Piedras Municipio,PR,35.13,54.2,96,2021-07-30
Loiza Municipio,PR,40.73,36.6,96,2021-07-30
Luquillo Municipio,PR,79.25,45.3,96,2021-07-30
Manati Municipio,PR,40.23,58.9,96,2021-07-30
Maricao Municipio,PR,suppressed,50.9,96,2021-07-30
Maunabo Municipio,PR,suppressed,55.8,96,2021-07-30
Mayaguez Municipio,PR,206.91,60.2,96,2021-07-30
Moca Municipio,PR,200.62,58.4,96,2021-07-30
Morovis Municipio,PR,42.85,50.6,96,2021-07-30
Naguabo Municipio,PR,suppressed,43.8,96,2021-07-30
Naranjito Municipio,PR,43.88,50,96,2021-07-30
Orocovis Municipio,PR,suppressed,57.8,96,2021-07-30
Patillas Municipio,PR,suppressed,61.4,96,2021-07-30
Penuelas Municipio,PR,suppressed,58.5,96,2021-07-30
Ponce Municipio,PR,45.50,63.8,96,2021-07-30
Quebradillas Municipio,PR,69.81,59.5,96,2021-07-30
Rincon Municipio,PR,95.20,56.7,96,2021-07-30
Rio Grande Municipio,PR,52.06,47.2,96,2021-07-30
Sabana Grande Municipio,PR,101.33,64.3,96,2021-07-30
Salinas Municipio,PR,suppressed,58.3,96,2021-07-30
San German Municipio,PR,155.49,58.4,96,2021-07-30
San Juan Municipio,PR,88.24,52.8,96,2021-07-30
San Lorenzo Municipio,PR,suppressed,55.4,96,2021-07-30
San Sebastian Municipio,PR,143.55,65.8,96,2021-07-30
Santa Isabel Municipio,PR,61.29,52.3,96,2021-07-30
Toa Alta Municipio,PR,55.54,51.3,96,2021-07-30
Toa Baja Municipio,PR,63.28,55.9,96,2021-07-30
Trujillo Alto Municipio,PR,83.24,38.3,96,2021-07-30
Utuado Municipio,PR,suppressed,54.8,96,2021-07-30
Vega Alta Municipio,PR,74.87,46.4,96,2021-07-30
Vega Baja Municipio,PR,77.96,60.1,96,2021-07-30
Vieques Municipio,PR,0.00,60.9,96,2021-07-30
Villalba Municipio,PR,suppressed,71.6,96,2021-07-30
Yabucoa Municipio,PR,30.98,55.7,96,2021-07-30
Yauco Municipio,PR,68.50,63.7,96,2021-07-30
